ASCII table of spectral energy distribution (SED) fitting results presented in the study *"The Challenge in Illuminating the Invisible: Constraining LyC Escape with Bayesian Modelling and Symbolic Regression"* (Stoffers et al. 2025). The table reports inferred escape fractions of ionizing photons together with key stellar population and dust attenuation parameters derived from Bayesian SED modelling. Galaxies best fit by a three-component dust attenuation model list the parameters tau_3, tau_2_fraction, and tau_1_fraction, where the fractional parameters express tau_1 and tau_2 relative to the total optical depth tau_3. Galaxies best fit by a two-component dust model instead list tau_2 and tau_1_fraction, with the fraction defined as tau_1 / tau_2. These results form the basis for the analysis of LyC escape presented in the paper.

ID              fesc         e_fesc       E_fesc       logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  beta_slope  e_beta_slope  E_beta_slope  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas  logU   e_logU  E_logU  tau_2  e_tau_2  E_tau_2  tau_1_fraction  e_tau_1_fraction  E_tau_1_fraction  tau_3  e_tau_3  E_tau_3  tau_2_fraction  e_tau_2_fraction  E_tau_2_fraction  f_scale  e_f_scale  E_f_scale  f_ob_run    e_f_ob_run  E_f_ob_run
J072326+414608  0.008683453  0.003798548  0.003926264  9.27   0.28     0.22     14.68   6.87     8.86     13.44   6.56      6.67      6.57     1.31       2.27       0.32  0.27   2.67   -2.177      0.082         0.112         -1.20  0.19     0.13     -0.51     0.01        0.01        -2.20  0.02    0.02    0.639  0.192    0.135    1.184           0.278             0.353             ...    ...      ...      ...             ...               ...               1.007    0.072      0.079      0.47794545  0.27112524  0.22343142
J124835+123403  0.048241745  0.012056658  0.014867836  9.06   0.26     0.23     23.76   5.28     4.45     16.68   1.92      2.09      3.66     0.94       1.95       0.36  0.32   3.79   -2.204      0.049         0.047         -0.94  0.09     0.15     -0.59     0.01        0.01        -2.21  0.03    0.03    ...    ...      ...      1.133           0.334             0.255             0.520  0.144    0.204    0.424           0.153             0.257             0.887    0.035      0.053      0.57597056  0.10480104  0.05514795
J120934+305326  0.020052964  0.012707831  0.005872298  9.16   0.13     0.20     18.50   8.29     6.45     15.36   6.75      4.56      8.13     2.00       3.54       0.08  0.04   1.45   -2.036      0.037         0.032         -1.05  0.16     0.10     -0.40     0.01        0.01        -2.00  0.02    0.02    0.292  0.039    0.043    1.032           0.228             0.232             ...    ...      ...      ...             ...               ...               1.024    0.078      0.103      0.56229066  0.43064685  0.11245348
J095236+405249  0.061178771  0.024627616  0.033834619  9.22   0.27     0.23     12.50   3.91     4.21     9.34    2.29      2.16      2.56     0.64       1.09       1.51  1.29   2.61   -2.325      0.082         0.101         -0.93  0.30     0.22     -0.49     0.03        0.04        -2.08  0.04    0.04    0.332  0.098    0.090    1.005           0.301             0.294             ...    ...      ...      ...             ...               ...               0.941    0.103      0.106      0.72389752  0.10220919  0.07024639
J130059+451057  0.027512844  0.023636961  0.156132402  9.99   0.17     0.12     0.72    0.43     1.24     0.95    0.50      1.16      2.22     0.75       1.14       3.29  1.91   1.46   -1.677      0.201         0.188         -1.07  0.32     0.30     -0.34     0.11        0.05        -2.72  0.05    0.05    0.087  0.049    0.094    0.993           0.336             0.344             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.65908130  0.36278359  0.20719674
J151707+370512  0.013700800  0.005737949  0.011427476  8.98   0.17     0.19     17.48   3.33     3.20     32.95   7.28      5.07      5.76     0.73       2.47       0.02  0.01   0.97   -2.193      0.100         0.110         -1.38  0.17     0.11     -0.31     0.01        0.01        -2.08  0.02    0.03    ...    ...      ...      1.100           0.206             0.250             0.840  0.219    0.276    0.357           0.170             0.166             0.806    0.046      0.044      0.35951547  0.12749729  0.10291150
J121915+453930  0.018514451  0.004756036  0.017164081  9.05   0.14     0.23     2.66    0.68     1.07     2.98    0.71      1.99      3.45     1.12       1.01       0.21  0.15   2.65   -2.015      0.059         0.044         -1.22  0.10     0.15     -0.61     0.03        0.03        -2.61  0.06    0.06    0.251  0.053    0.110    1.082           0.292             0.188             ...    ...      ...      ...             ...               ...               1.200    0.129      0.137      0.46371634  0.19302939  0.19266237
J091207+523960  0.003022212  0.001295228  0.001536940  10.22  0.18     0.16     25.17   2.76     4.08     14.87   1.70      2.01      3.78     1.14       1.74       4.92  2.02   0.82   -1.957      0.061         0.068         -0.73  0.31     0.59     -0.18     0.02        0.01        -2.67  0.01    0.01    ...    ...      ...      0.981           0.295             0.346             1.150  0.265    0.280    0.543           0.157             0.146             1.118    0.235      0.198      0.77953833  0.05906916  0.04482015
J172010+542133  0.025089282  0.015680083  0.018506048  9.26   0.19     0.16     2.89    0.64     1.29     6.24    1.91      3.08      2.87     0.56       0.99       2.62  2.11   1.87   -2.164      0.089         0.096         -1.49  0.19     0.23     -0.61     0.04        0.03        -2.00  0.04    0.03    0.322  0.078    0.068    1.027           0.273             0.276             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.33118152  0.16639355  0.20223303
J124423+021540  0.001072692  0.000569863  0.000588936  8.56   0.10     0.14     43.19   5.40     3.33     25.44   1.75      2.13      3.05     0.27       0.68       0.00  0.00   0.01   -1.522      0.054         0.084         -0.96  0.10     0.12     -0.50     0.01        0.01        -2.11  0.01    0.02    ...    ...      ...      1.061           0.242             0.245             0.305  0.039    0.094    0.592           0.178             0.157             0.712    0.026      0.050      0.49187358  0.06418951  0.04726079
J095838+202508  0.000917283  0.000643098  0.001631334  8.70   0.04     0.13     10.37   2.30     3.75     8.75    1.79      3.54      4.72     0.54       1.67       0.02  0.00   0.01   -2.239      0.089         0.080         -1.68  0.14     0.15     -0.56     0.07        0.06        -1.19  0.12    0.08    0.680  0.140    0.192    1.362           0.319             0.259             ...    ...      ...      ...             ...               ...               0.796    0.039      0.046      0.12691791  0.10792684  0.11853759
J125503+255609  0.045923170  0.018176999  0.027818085  9.54   0.21     0.16     11.95   3.34     3.39     10.98   3.00      2.38      3.25     0.75       1.04       3.61  2.35   1.10   -2.308      0.105         0.084         -1.32  0.19     0.15     -0.47     0.03        0.05        -2.00  0.03    0.02    0.342  0.090    0.084    1.022           0.300             0.336             ...    ...      ...      ...             ...               ...               0.821    0.058      0.074      0.59110394  0.15856102  0.08523732
J125718+410221  0.016593630  0.010751738  0.015514277  8.81   0.35     0.29     12.15   2.58     3.17     8.70    1.60      1.32      1.60     0.34       0.73       1.52  1.48   2.11   -2.001      0.124         0.101         -0.98  0.17     0.14     -0.46     0.02        0.02        -1.79  0.03    0.03    ...    ...      ...      0.999           0.235             0.296             0.301  0.089    0.137    0.391           0.207             0.242             0.839    0.042      0.039      0.31612399  0.17420888  0.18331115
J012217+052044  0.069874798  0.026951000  0.039831939  9.38   0.28     0.22     10.98   3.17     3.48     8.62    1.75      1.63      2.62     0.84       1.07       2.49  1.73   1.74   -2.258      0.056         0.049         -1.05  0.26     0.23     -0.46     0.04        0.04        -1.59  0.05    0.06    ...    ...      ...      0.977           0.308             0.296             0.274  0.112    0.231    0.362           0.203             0.249             0.750    0.102      0.181      0.49639551  0.12574823  0.15304290
J123519+063556  0.010321754  0.002919027  0.002638889  9.40   0.29     0.07     29.73   8.74     3.51     19.96   1.23      3.24      3.21     0.68       1.79       2.82  2.10   1.02   -2.292      0.026         0.042         -1.25  0.18     0.11     -0.46     0.03        0.03        -1.94  0.05    0.04    ...    ...      ...      0.992           0.273             0.148             0.651  0.165    0.377    0.423           0.194             0.209             0.879    0.070      0.055      0.84627230  0.05464365  0.01378291
J132937+573315  0.001883452  0.000934121  0.000944118  10.30  0.17     0.14     44.88   25.99    28.42    40.75   25.03     29.85     50.71    12.20      18.75      0.24  0.10   0.72   -1.730      0.066         0.069         -1.02  0.27     0.18     -0.52     0.01        0.01        -3.00  0.01    0.01    0.780  0.120    0.097    1.117           0.272             0.306             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.82498163  0.28520960  0.06323324
J164849+495751  0.150591356  0.123450168  0.193709073  8.93   0.30     0.31     2.47    0.64     1.19     2.83    0.86      0.97      1.63     0.54       0.61       1.49  1.33   2.38   -2.385      0.071         0.068         -1.04  0.26     0.17     -0.61     0.02        0.03        -2.32  0.03    0.04    ...    ...      ...      0.923           0.343             0.351             0.023  0.016    0.056    0.362           0.259             0.255             0.732    0.124      0.169      0.24109571  0.20126481  0.31390418
J091208+505009  0.000570176  0.000399896  0.001637340  9.27   0.23     0.13     9.16    1.38     2.29     8.75    1.81      3.30      12.62    4.20       4.06       0.06  0.03   0.04   -1.947      0.078         0.102         -1.31  0.23     0.20     -0.49     0.02        0.02        -2.19  0.03    0.02    0.386  0.081    0.090    1.269           0.268             0.361             ...    ...      ...      ...             ...               ...               0.877    0.056      0.067      0.06399177  0.04316826  0.18067078
J082652+182052  0.008509404  0.006308850  0.013509368  9.35   0.15     0.22     3.84    0.85     1.38     5.49    1.35      1.30      2.25     0.71       0.72       3.82  2.87   1.34   -1.791      0.155         0.150         -1.29  0.26     0.22     -0.46     0.05        0.05        -1.82  0.04    0.07    ...    ...      ...      0.823           0.251             0.397             0.319  0.108    0.201    0.307           0.164             0.313             0.825    0.046      0.056      0.23477207  0.14213715  0.18892968
J141013+434435  0.003935190  0.002260472  0.008692356  9.06   0.37     0.38     16.31   3.90     2.83     11.91   1.76      2.09      2.50     0.89       1.28       1.40  1.31   3.07   -2.119      0.069         0.072         -1.31  0.19     0.12     -0.50     0.02        0.03        -1.11  0.04    0.04    ...    ...      ...      0.978           0.271             0.246             0.701  0.231    0.683    0.296           0.136             0.302             1.002    0.093      0.091      0.54548293  0.14820578  0.10234254
J081112+414146  0.004897021  0.002822687  0.005463726  8.55   0.36     0.20     9.89    2.57     1.91     6.11    0.76      0.95      1.07     0.30       0.33       0.67  0.65   1.96   -1.952      0.091         0.072         -1.00  0.13     0.18     -0.48     0.03        0.03        -1.22  0.06    0.07    ...    ...      ...      0.959           0.215             0.274             0.187  0.067    0.071    0.382           0.128             0.206             0.278    0.011      0.012      0.35363771  0.19989843  0.08595916
