ASCII table of spectral energy distribution (SED) fitting results presented in the study *"The Challenge in Illuminating the Invisible: Constraining LyC Escape with Bayesian Modelling and Symbolic Regression"* (Stoffers et al. 2025). The table reports inferred escape fractions of ionizing photons together with key stellar population and dust attenuation parameters derived from Bayesian SED modelling. Galaxies best fit by a three-component dust attenuation model list the parameters tau_3, tau_2_fraction, and tau_1_fraction, where the fractional parameters express tau_1 and tau_2 relative to the total optical depth tau_3. Galaxies best fit by a two-component dust model instead list tau_2 and tau_1_fraction, with the fraction defined as tau_1 / tau_2. These results form the basis for the analysis of LyC escape presented in the paper.

ID              fesc         e_fesc       E_fesc       logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  beta_slope  e_beta_slope  E_beta_slope  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas  logU   e_logU  E_logU  tau_2  e_tau_2  E_tau_2  tau_1_fraction  e_tau_1_fraction  E_tau_1_fraction  tau_3  e_tau_3  E_tau_3  tau_2_fraction  e_tau_2_fraction  E_tau_2_fraction  f_scale  e_f_scale  E_f_scale  f_ob_run    e_f_ob_run  E_f_ob_run
J092552+395714  0.001813604  0.001254879  0.003053765  9.41   0.38     0.28     24.44   5.17     3.87     15.20   1.80      1.74      2.93     0.71       1.46       2.27  1.86   2.28   -2.020      0.147         0.197         -0.94  0.18     0.19     -0.54     0.02        0.02        -2.48  0.02    0.03    ...    ...      ...      1.060           0.375             0.278             1.014  0.321    0.549    0.444           0.148             0.204             0.985    0.110      0.141      0.87393580  0.02662708  0.02832367
J112848+524509  0.005448819  0.003765624  0.006015757  9.83   0.26     0.19     25.89   5.44     5.76     21.27   3.05      3.21      7.15     2.23       6.24       2.16  1.55   1.93   -2.112      0.118         0.144         -0.85  0.18     0.18     -0.57     0.02        0.02        -2.50  0.01    0.02    ...    ...      ...      1.081           0.313             0.209             0.961  0.307    0.405    0.509           0.162             0.178             0.691    0.135      0.163      0.79401600  0.09946171  0.05896956
J131419+104739  0.001184971  0.000881394  0.001780658  10.10  0.17     0.14     18.14   3.50     6.09     20.61   5.39      9.27      26.86    5.47       7.61       0.49  0.30   2.41   -1.860      0.051         0.052         -1.13  0.14     0.18     -0.43     0.02        0.02        -2.66  0.02    0.02    0.550  0.098    0.162    1.096           0.246             0.287             ...    ...      ...      ...             ...               ...               0.809    0.070      0.099      0.10448080  0.07878193  0.25376052
J124033+212716  0.000250665  0.000104361  0.000321751  8.83   0.08     0.13     8.57    1.09     1.23     8.43    1.34      1.60      6.07     0.77       1.54       0.02  0.00   0.01   -2.166      0.057         0.076         -1.60  0.14     0.14     -0.61     0.05        0.06        -1.76  0.10    0.08    0.659  0.073    0.094    1.338           0.159             0.257             ...    ...      ...      ...             ...               ...               0.705    0.048      0.054      0.04307518  0.02983151  0.04460613
J115959+382422  0.019972168  0.016191716  0.018322586  8.74   0.23     0.23     4.04    1.06     1.41     3.31    0.68      0.87      0.86     0.21       0.29       2.11  1.63   2.33   -2.154      0.116         0.160         -1.29  0.27     0.21     -0.61     0.05        0.03        -1.11  0.10    0.07    0.290  0.068    0.098    0.971           0.389             0.324             ...    ...      ...      ...             ...               ...               0.789    0.040      0.042      0.30055777  0.23635432  0.16169246
J091113+183108  0.001848917  0.000528829  0.001077818  10.42  0.30     0.24     112.38  15.11    20.90    85.39   10.31     12.41     22.29    7.35       13.80      3.04  2.21   2.22   -2.160      0.051         0.061         -1.16  0.16     0.17     -0.24     0.01        0.02        -2.27  0.01    0.02    ...    ...      ...      0.958           0.281             0.251             1.853  0.456    0.483    0.488           0.119             0.189             0.692    0.060      0.067      0.80818781  0.04448682  0.03300759
J011309+000223  0.371973024  0.137056993  0.140414961  9.57   0.30     0.22     8.76    1.81     2.62     5.98    0.76      1.25      2.54     0.82       0.74       4.38  2.41   1.03   -2.455      0.039         0.064         -0.41  0.55     0.26     -0.63     0.02        0.03        -2.54  0.03    0.02    0.020  0.010    0.017    0.999           0.311             0.305             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.72616321  0.10123775  0.08590247
J131904+510309  0.000143577  0.000101983  0.000200469  10.53  0.12     0.12     32.16   15.46    16.45    22.27   9.52      10.72     17.33    4.27       6.66       2.35  1.31   1.81   -1.371      0.101         0.161         -0.71  0.20     0.40     -0.16     0.01        0.01        -2.86  0.02    0.02    0.850  0.162    0.115    1.066           0.292             0.266             ...    ...      ...      ...             ...               ...               0.704    0.116      0.159      0.67959343  0.39912994  0.14646748
J130559+422638  0.000036700  0.000036690  0.000320116  8.24   0.26     0.26     7.64    2.75     2.25     4.99    1.25      1.46      1.03     0.37       0.32       0.05  0.04   1.07   -1.405      0.350         1.310         -1.24  0.27     0.24     -0.75     0.01        0.01        -1.03  0.03    0.02    0.476  0.075    0.137    1.119           0.247             0.242             ...    ...      ...      ...             ...               ...               0.983    0.065      0.073      0.42410567  0.38572288  0.19385023
J083440+480541  0.000120236  0.000076421  0.000283003  8.95   0.07     0.08     24.39   2.95     3.03     18.19   1.90      2.94      7.97     1.13       1.64       0.02  0.00   0.01   -1.869      0.093         0.117         -1.47  0.18     0.11     -0.38     0.01        0.02        -1.95  0.04    0.03    0.384  0.047    0.091    1.296           0.254             0.212             ...    ...      ...      ...             ...               ...               0.815    0.034      0.028      0.02692530  0.01285284  0.05671807
J094001+593244  0.025352597  0.015705518  0.024005439  9.98   0.25     0.17     18.58   5.18     3.73     13.03   2.51      3.71      6.82     1.47       2.48       2.15  1.37   2.12   -2.102      0.112         0.132         -0.76  0.15     0.35     -0.30     0.02        0.01        -2.55  0.02    0.02    0.348  0.110    0.101    1.066           0.303             0.163             ...    ...      ...      ...             ...               ...               0.711    0.167      0.154      0.55010311  0.25987595  0.14761444
J012910+145935  0.002080129  0.001062768  0.001538413  9.84   0.18     0.14     11.08   5.20     6.15     16.65   7.01      7.83      16.10    3.53       3.99       1.61  1.39   1.93   -1.789      0.066         0.058         -1.33  0.21     0.12     -0.41     0.02        0.03        -2.30  0.03    0.03    0.518  0.105    0.083    1.095           0.247             0.252             ...    ...      ...      ...             ...               ...               1.246    0.112      0.135      0.59754066  0.44176191  0.13673252
