ID              logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas
J130128+510451  9.81   0.28     0.19     23.20   6.62     7.87     28.91   8.34      7.92      8.78     2.20       3.73       2.55  2.01   2.04   -1.34  0.21     0.16     -0.51     0.01        0.04      
J135008+662438  9.32   0.25     0.16     3.06    0.54     1.83     5.65    1.73      1.84      3.68     1.05       1.70       1.39  1.13   2.53   -1.26  0.23     0.16     -0.53     0.03        0.02      
J080425+472607  9.14   0.45     0.45     8.69    2.37     2.85     6.52    1.00      1.80      1.43     0.42       0.83       2.56  2.12   2.04   -0.97  0.32     0.22     -0.86     0.01        0.01      
J160437+081959  9.35   0.23     0.15     9.84    1.15     1.59     6.30    0.72      0.65      1.19     0.30       0.53       4.13  2.39   1.13   -0.87  0.25     0.18     -0.48     0.03        0.01      
J103344+635317  9.42   0.20     0.18     15.43   2.85     8.26     17.79   3.56      9.39      14.87    2.79       4.90       0.07  0.04   0.80   -1.43  0.18     0.17     -0.51     0.01        0.02      
J093355+510925  8.24   0.41     0.44     3.21    0.43     0.50     5.05    0.67      0.87      0.67     0.08       0.22       0.18  0.17   3.64   -1.67  0.14     0.15     -0.75     0.01        0.00      
J105331+523753  9.19   0.18     0.25     174.38  22.23    16.42    93.64   8.35      11.42     11.37    2.11       2.95       0.00  0.00   0.08   -1.04  0.20     0.17     -0.38     0.01        0.01      
J154050+572442  9.81   0.27     0.30     163.51  20.41    26.79    102.96  14.16     11.51     18.90    4.04       8.40       1.50  1.46   2.51   -0.73  0.14     0.22     -0.33     0.01        0.01      
J115855+312559  10.10  0.14     0.11     18.81   5.66     12.42    27.03   9.63      20.83     17.54    2.95       5.56       2.72  1.82   1.59   -1.31  0.18     0.14     -0.41     0.01        0.01      
J105525+485724  9.93   0.17     0.05     5.34    2.18     2.15     3.87    1.16      2.10      6.33     1.58       3.72       0.47  0.24   0.13   -1.69  0.14     0.43     -0.52     0.01        0.01      
J110452+475204  9.03   0.34     0.19     12.32   2.77     3.23     9.75    1.48      1.26      2.44     0.74       1.03       1.16  1.08   2.32   -1.06  0.18     0.14     -0.56     0.05        0.03      
J112224+412052  8.76   0.54     0.22     3.80    0.52     2.49     4.47    1.17      1.94      1.62     0.27       0.33       0.91  0.89   3.03   -1.48  0.18     0.21     -0.55     0.02        0.04      
J164607+313054  9.06   0.27     0.20     9.34    2.94     2.04     7.18    1.98      1.41      3.07     0.72       1.08       0.74  0.66   2.26   -1.09  0.17     0.13     -0.52     0.01        0.01      
J124911+464535  8.74   0.24     0.21     6.38    1.84     1.91     8.68    2.72      1.82      2.76     0.62       1.25       0.07  0.05   1.10   -1.41  0.24     0.14     -0.53     0.02        0.02      
J004743+015440  9.78   0.42     0.33     132.62  17.52    17.69    75.72   11.05     8.90      10.89    2.32       4.45       1.60  1.52   2.70   -0.94  0.10     0.14     -0.54     0.02        0.02      
J091703+315221  8.93   0.07     0.07     153.45  17.68    16.71    77.95   8.34      8.61      8.26     1.15       1.20       0.00  0.00   0.00   -0.64  0.12     0.28     -0.20     0.01        0.01      
J102615+633308  8.61   0.34     0.31     7.52    0.52     0.64     4.13    0.21      0.25      0.66     0.13       0.25       2.13  1.82   2.41   -0.61  0.16     0.13     -0.59     0.04        0.04      
J105117+474357  9.43   0.23     0.21     3.63    0.90     1.16     10.52   3.75      2.83      5.71     1.35       1.50       0.66  0.50   2.51   -1.04  0.27     0.13     -0.53     0.01        0.01      
J113304+651341  9.41   0.31     0.26     21.16   3.51     6.10     18.90   2.66      2.72      4.99     1.42       2.61       1.54  1.38   2.96   -1.18  0.15     0.15     -0.53     0.02        0.01      
J112933+493525  9.13   0.36     0.32     7.45    1.86     2.48     7.21    1.26      1.79      2.85     0.97       1.24       1.51  1.36   2.59   -1.06  0.18     0.15     -0.50     0.02        0.03      
J092552+395714  9.41   0.38     0.28     24.44   5.17     3.87     15.20   1.80      1.74      2.93     0.71       1.46       2.27  1.86   2.28   -0.94  0.18     0.19     -0.54     0.02        0.02      
J112848+524509  9.83   0.26     0.19     25.89   5.44     5.76     21.27   3.05      3.21      7.15     2.23       6.24       2.16  1.55   1.93   -0.85  0.18     0.18     -0.57     0.02        0.02      
J131419+104739  10.10  0.17     0.14     18.14   3.50     6.09     20.61   5.39      9.27      26.86    5.47       7.61       0.49  0.30   2.41   -1.13  0.14     0.18     -0.43     0.02        0.02      
J124033+212716  8.83   0.08     0.13     8.57    1.09     1.23     8.43    1.34      1.60      6.07     0.77       1.54       0.02  0.00   0.01   -1.60  0.14     0.14     -0.61     0.05        0.06      
J115959+382422  8.74   0.23     0.23     4.04    1.06     1.41     3.31    0.68      0.87      0.86     0.21       0.29       2.11  1.63   2.33   -1.29  0.27     0.21     -0.61     0.05        0.03      
J091113+183108  10.42  0.30     0.24     112.38  15.11    20.90    85.39   10.31     12.41     22.29    7.35       13.80      3.04  2.21   2.22   -1.16  0.16     0.17     -0.24     0.01        0.02      
J011309+000223  9.57   0.30     0.22     8.76    1.81     2.62     5.98    0.76      1.25      2.54     0.82       0.74       4.38  2.41   1.03   -0.41  0.55     0.26     -0.63     0.02        0.03      
J131904+510309  10.53  0.12     0.12     32.16   15.46    16.45    22.27   9.52      10.72     17.33    4.27       6.66       2.35  1.31   1.81   -0.71  0.20     0.40     -0.16     0.01        0.01      
J130559+422638  8.24   0.26     0.26     7.64    2.75     2.25     4.99    1.25      1.46      1.03     0.37       0.32       0.05  0.04   1.07   -1.24  0.27     0.24     -0.75     0.01        0.01      
J083440+480541  8.95   0.07     0.08     24.39   2.95     3.03     18.19   1.90      2.94      7.97     1.13       1.64       0.02  0.00   0.01   -1.47  0.18     0.11     -0.38     0.01        0.02      
J094001+593244  9.98   0.25     0.17     18.58   5.18     3.73     13.03   2.51      3.71      6.82     1.47       2.48       2.15  1.37   2.12   -0.76  0.15     0.35     -0.30     0.02        0.01      
J012910+145935  9.84   0.18     0.14     11.08   5.20     6.15     16.65   7.01      7.83      16.10    3.53       3.99       1.61  1.39   1.93   -1.33  0.21     0.12     -0.41     0.02        0.03      
